,Course_Name,Company,Degree,Score,Reviews,Skills,Level/Cert/Time,IsFree,Course_Url
950,Creating a Data Warehouse Through Joins and Unions,Google Cloud,,,,"Database Administration, SQL",Beginner / Project / Less Than 2 Hours,,https://www.coursera.org/projects/googlecloud-creating-a-data-warehouse-through-joins-and-unions-z45uo
951,Traffic Sign Classification Using Deep Learning in Python/Keras,Coursera Project Network,,4.6,(375 reviews),"Artificial Neural Networks, Deep Learning, Machine Learning, Computer Vision, Python Programming",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/traffic-sign-classification-deep-learning
952,Forecasting US Presidential Elections with Mixed Models,Coursera Project Network,,4.2,(14 reviews),Forecasting,Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/forecasting-us-elections-mixed-effects
953,Visualizing static networks with R,Coursera Project Network,,,,"Data Analysis, Network Analysis, R Programming",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/visualizing-static-networks-r
954,Analyze Stock Data using R and Quantmod Package,Coursera Project Network,,4.3,(153 reviews),"R Programming, Computer Programming",Beginner / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/analyze-stock-data-using-r-quantmod
955,Curso Completo de Machine Learning en Microsoft Power BI,Coursera Project Network,,4.5,(11 reviews),Machine Learning,Advanced / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/curso-completo-machine-learning-microsoft-powerbi
956,Introduction to Node-red,Coursera Project Network,,4.8,(37 reviews),Javascript,Beginner / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/introduction-to-node-red
957,AWS: Data Analysis and Visualization,Whizlabs,,,,"Cloud Computing, Data Analysis, Data Visualization",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/aws-data-analysis-and-visualization
958,Simple Recurrent Neural Network with Keras,Coursera Project Network,,4.4,(120 reviews),"Machine Learning, Data Science, Tensorflow",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/simple-recurrent-neural-network-keras
959,Transfer Learning for Food Classification,Coursera Project Network,,4.6,(65 reviews),"Deep Learning, Machine Learning, Computer Vision, Python Programming",Beginner / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/transfer-learning-food-classification
960,Line Balancing With MILP Optimization In RStudio,Coursera Project Network,,,,"Data Analysis, R Programming",Beginner / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/line-balancing-milp-rstudio
961,Get Familiar with ML basics in a Kaggle Competition,Coursera Project Network,,4.3,(32 reviews),Python Programming,Beginner / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/ml-basics-kaggle-competition
962,Application of Data Analysis in Business with R Programming,Coursera Project Network,,4.3,(112 reviews),"Data Analysis, Data Visualization, R Programming, Statistical Programming, Computer Programming",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/application-of-data-analysis-in-business-with-r-programming
963,Performing Data Aggregation using SQL Aggregate Functions,Coursera Project Network,,4.8,(76 reviews),"Data Management, PostgreSQL, SQL",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/performing-data-aggregation-using-sql-aggregate-functions
964,Google Cloud Big Data and Machine Learning Fundamentals en Fran̤ais,Google Cloud,,4.2,(39 reviews),"Business Analysis, Cloud Computing, Communication, Computer Architecture, Computer Networking, Databases, Design and Product, Leadership and Management, Network Security, Strategy, Google Cloud Platform",Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals-fr
965,Exploratory Data Analysis with Seaborn,Coursera Project Network,,4.6,(434 reviews),"Data Analysis, Data Visualization, Exploratory Data Analysis, Machine Learning, Python Programming, Data Science",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/exploratory-data-analysis-seaborn
966,Machine Learning With Big Data,University of California San Diego,,4.6,(2.4K reviews),"Data Analysis, Machine Learning, Data Analysis Software, Exploratory Data Analysis, Machine Learning Algorithms, Data Mining, Probability & Statistics, Data Visualization, Statistical Programming, Statistical Visualization, Algorithms, Apache, Human Learning",Mixed / Course / 3 - 6 Months,,https://www.coursera.org/learn/big-data-machine-learning
967,Data Storage in Microsoft Azure for Associate Developers,Microsoft,,4.5,(21 reviews),"Cloud Computing, Cloud Management, Cloud Storage, Data Management, Microsoft Azure, Cloud Platforms, Databases, Cloud Applications, Data Warehousing, Store Management",Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/data-storage-microsoft-azure-developers
968,Build a Machine Learning Image Classifier with Python,Coursera Project Network,,4.3,(7 reviews),"Machine Learning, Computer Vision, Deep Learning",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/build-machine-learning-image-classifier-with-python
