Kod wojewdztwa,Kod powiatu,Kod gminy,Wojewdztwo,Powiat,Gmina,Typ gminy,Nazwa formularza,Liczba podatnikw,Kwota przychodu                   w tys zotych,Kwota dochodu w tys zotych,Kwota dochodu do opodatkowania                  w tys zotych,Podatek naleny                  w tys zotych
2,2,11,DOLNOLSKIE,DZIERONIOWSKI,BIELAWA,GM,PIT36L,271,595119,80539,76930,14617
2,2,11,DOLNOLSKIE,DZIERONIOWSKI,BIELAWA,GM,PIT37,12788,595015,567312,508660,22276
2,2,11,DOLNOLSKIE,DZIERONIOWSKI,BIELAWA,GM,PIT38,189,22949,1030,1015,165
2,2,11,DOLNOLSKIE,DZIERONIOWSKI,BIELAWA,GM,PIT39,59,12589,7059,443,84
2,2,11,DOLNOLSKIE,DZIERONIOWSKI,BIELAWA,GM,PIT40A,3943,88373,88373,88372,0
2,2,21,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GM,PIT28,1335,153052,0,0,10108
2,2,21,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GM,PIT36,2118,347055,115031,103079,6461
2,2,21,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GM,PIT36L,392,921880,108492,104062,19772
2,2,21,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GM,PIT37,15273,744459,709004,636061,32350
2,2,21,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GM,PIT38,311,70892,1796,1607,305
2,2,21,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GM,PIT39,72,11637,6680,582,111
2,2,21,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GM,PIT40A,4341,95889,95889,95889,3
2,2,33,DOLNOLSKIE,DZIERONIOWSKI,PIESZYCE,MW,PIT28,327,34782,0,0,2674
2,2,33,DOLNOLSKIE,DZIERONIOWSKI,PIESZYCE,MW,PIT36,582,77830,30837,27872,1567
2,2,33,DOLNOLSKIE,DZIERONIOWSKI,PIESZYCE,MW,PIT36L,117,237546,37271,35518,6748
2,2,33,DOLNOLSKIE,DZIERONIOWSKI,PIESZYCE,MW,PIT37,3758,172344,164070,146578,7070
2,2,33,DOLNOLSKIE,DZIERONIOWSKI,PIESZYCE,MW,PIT38,54,14197,198,195,37
2,2,33,DOLNOLSKIE,DZIERONIOWSKI,PIESZYCE,MW,PIT39,18,2405,1444,307,58
2,2,33,DOLNOLSKIE,DZIERONIOWSKI,PIESZYCE,MW,PIT40A,1169,25645,25645,25642,0
2,2,41,DOLNOLSKIE,DZIERONIOWSKI,PIAWA GRNA,GM,PIT28,174,19146,0,0,1005
2,2,41,DOLNOLSKIE,DZIERONIOWSKI,PIAWA GRNA,GM,PIT36,369,69923,16822,15104,699
2,2,41,DOLNOLSKIE,DZIERONIOWSKI,PIAWA GRNA,GM,PIT36L,41,44671,10622,10209,1940
2,2,41,DOLNOLSKIE,DZIERONIOWSKI,PIAWA GRNA,GM,PIT37,2683,112462,107077,95692,3529
2,2,41,DOLNOLSKIE,DZIERONIOWSKI,PIAWA GRNA,GM,PIT38,39,31504,257,252,48
2,2,41,DOLNOLSKIE,DZIERONIOWSKI,PIAWA GRNA,GM,PIT39,6,985,526,60,11
2,2,41,DOLNOLSKIE,DZIERONIOWSKI,PIAWA GRNA,GM,PIT40A,743,16073,16073,16073,0
2,2,52,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GW,PIT28,362,42314,0,0,2646
2,2,52,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GW,PIT36,684,136029,31993,28352,1446
2,2,52,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GW,PIT36L,104,385025,42164,40767,7746
2,2,52,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GW,PIT37,3877,176498,167852,148719,6430
2,2,52,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GW,PIT38,48,13199,286,286,54
2,2,52,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GW,PIT39,12,2565,1762,3,0
2,2,52,DOLNOLSKIE,DZIERONIOWSKI,DZIERONIW,GW,PIT40A,1071,22017,22017,22017,0
2,2,62,DOLNOLSKIE,DZIERONIOWSKI,AGIEWNIKI,GW,PIT28,223,42749,0,0,2656
2,2,62,DOLNOLSKIE,DZIERONIOWSKI,AGIEWNIKI,GW,PIT36,430,70535,19974,17091,821
2,2,62,DOLNOLSKIE,DZIERONIOWSKI,AGIEWNIKI,GW,PIT36L,68,128966,21216,20084,3816
2,2,62,DOLNOLSKIE,DZIERONIOWSKI,AGIEWNIKI,GW,PIT37,3383,154307,146959,129433,5331
2,2,62,DOLNOLSKIE,DZIERONIOWSKI,AGIEWNIKI,GW,PIT38,31,8583,308,101,19
2,2,62,DOLNOLSKIE,DZIERONIOWSKI,AGIEWNIKI,GW,PIT39,12,3542,1701,74,14
2,2,62,DOLNOLSKIE,DZIERONIOWSKI,AGIEWNIKI,GW,PIT40A,862,16553,16553,16552,0
2,2,73,DOLNOLSKIE,DZIERONIOWSKI,NIEMCZA,MW,PIT28,171,19594,0,0,1166
2,2,73,DOLNOLSKIE,DZIERONIOWSKI,NIEMCZA,MW,PIT36,310,49117,14359,12811,646
2,2,73,DOLNOLSKIE,DZIERONIOWSKI,NIEMCZA,MW,PIT36L,34,102835,11258,10293,1956
2,2,73,DOLNOLSKIE,DZIERONIOWSKI,NIEMCZA,MW,PIT37,2371,105000,100102,89396,4283
2,2,73,DOLNOLSKIE,DZIERONIOWSKI,NIEMCZA,MW,PIT38,27,17510,927,49,9
2,2,73,DOLNOLSKIE,DZIERONIOWSKI,NIEMCZA,MW,PIT39,6,652,483,39,7
2,2,73,DOLNOLSKIE,DZIERONIOWSKI,NIEMCZA,MW,PIT40A,605,12602,12602,12602,0
2,3,11,DOLNOLSKIE,GOGOWSKI,GOGW,GM,PIT28,2008,224262,0,0,16873
2,3,11,DOLNOLSKIE,GOGOWSKI,GOGW,GM,PIT36,3844,512920,244151,219355,14986
2,3,11,DOLNOLSKIE,GOGOWSKI,GOGW,GM,PIT36L,561,1093080,168472,161321,30651
2,3,11,DOLNOLSKIE,GOGOWSKI,GOGW,GM,PIT37,35694,2295646,2226211,2016372,140342
2,3,11,DOLNOLSKIE,GOGOWSKI,GOGW,GM,PIT38,834,133644,6755,6227,1183
2,3,11,DOLNOLSKIE,GOGOWSKI,GOGW,GM,PIT39,140,22288,10208,1140,217
2,3,11,DOLNOLSKIE,GOGOWSKI,GOGW,GM,PIT40A,4916,102361,102361,102361,109
2,3,22,DOLNOLSKIE,GOGOWSKI,GOGW,GW,PIT28,319,33065,0,0,2545
2,3,22,DOLNOLSKIE,GOGOWSKI,GOGW,GW,PIT36,641,272777,44039,38506,2805
2,3,22,DOLNOLSKIE,GOGOWSKI,GOGW,GW,PIT36L,98,164207,29355,28278,5373
2,3,22,DOLNOLSKIE,GOGOWSKI,GOGW,GW,PIT37,3506,240343,232544,206233,15717
2,3,22,DOLNOLSKIE,GOGOWSKI,GOGW,GW,PIT38,91,27442,2516,2438,463
2,3,22,DOLNOLSKIE,GOGOWSKI,GOGW,GW,PIT39,15,4972,1617,239,45
2,3,22,DOLNOLSKIE,GOGOWSKI,GOGW,GW,PIT40A,448,8740,8740,8740,10
2,3,32,DOLNOLSKIE,GOGOWSKI,JERZMANOWA,GW,PIT28,242,29012,0,0,2515
2,3,32,DOLNOLSKIE,GOGOWSKI,JERZMANOWA,GW,PIT36,509,106916,41981,36730,3008
2,3,32,DOLNOLSKIE,GOGOWSKI,JERZMANOWA,GW,PIT36L,104,200320,35357,33703,6404
2,3,32,DOLNOLSKIE,GOGOWSKI,JERZMANOWA,GW,PIT37,2874,236914,230354,202843,18429
2,3,32,DOLNOLSKIE,GOGOWSKI,JERZMANOWA,GW,PIT38,112,24323,1046,898,171
2,3,32,DOLNOLSKIE,GOGOWSKI,JERZMANOWA,GW,PIT39,19,5618,2381,0,0
2,3,32,DOLNOLSKIE,GOGOWSKI,JERZMANOWA,GW,PIT40A,286,5487,5487,5487,0
2,3,42,DOLNOLSKIE,GOGOWSKI,KOTLA,GW,PIT28,98,21194,0,0,1382
2,3,42,DOLNOLSKIE,GOGOWSKI,KOTLA,GW,PIT36,251,36264,15085,13347,879
2,3,42,DOLNOLSKIE,GOGOWSKI,KOTLA,GW,PIT36L,31,63777,6419,6008,1141
2,3,42,DOLNOLSKIE,GOGOWSKI,KOTLA,GW,PIT37,2098,118831,114547,100971,5918
2,3,42,DOLNOLSKIE,GOGOWSKI,KOTLA,GW,PIT38,35,5816,137,85,16
2,3,42,DOLNOLSKIE,GOGOWSKI,KOTLA,GW,PIT39,8,1498,792,24,5
2,3,42,DOLNOLSKIE,GOGOWSKI,KOTLA,GW,PIT40A,386,7321,7321,7321,0
2,3,52,DOLNOLSKIE,GOGOWSKI,PCAW,GW,PIT28,41,2122,0,0,135
2,3,52,DOLNOLSKIE,GOGOWSKI,PCAW,GW,PIT36,114,13943,7726,7014,438
2,3,52,DOLNOLSKIE,GOGOWSKI,PCAW,GW,PIT36L,7,11138,2501,2352,447
2,3,52,DOLNOLSKIE,GOGOWSKI,PCAW,GW,PIT37,989,47650,45727,40623,1903
2,3,52,DOLNOLSKIE,GOGOWSKI,PCAW,GW,PIT38,10,116,19,18,3
2,3,52,DOLNOLSKIE,GOGOWSKI,PCAW,GW,PIT40A,223,4319,4319,4319,0
2,3,62,DOLNOLSKIE,GOGOWSKI,UKOWICE,GW,PIT28,105,7521,0,0,446
2,3,62,DOLNOLSKIE,GOGOWSKI,UKOWICE,GW,PIT36,161,25312,7745,6859,353
2,3,62,DOLNOLSKIE,GOGOWSKI,UKOWICE,GW,PIT36L,17,30940,3458,3036,577
2,3,62,DOLNOLSKIE,GOGOWSKI,UKOWICE,GW,PIT37,1783,91719,88015,78020,4024
2,3,62,DOLNOLSKIE,GOGOWSKI,UKOWICE,GW,PIT38,30,1080,178,139,27
2,3,62,DOLNOLSKIE,GOGOWSKI,UKOWICE,GW,PIT39,7,1112,381,0,0
2,3,62,DOLNOLSKIE,GOGOWSKI,UKOWICE,GW,PIT40A,353,6432,6432,6432,0
2,4,13,DOLNOLSKIE,GROWSKI,GRA,MW,PIT28,709,116286,0,0,6889
2,4,13,DOLNOLSKIE,GROWSKI,GRA,MW,PIT36,1389,194979,68896,62231,3358
2,4,13,DOLNOLSKIE,GROWSKI,GRA,MW,PIT36L,134,346266,34426,32861,6244
2,4,13,DOLNOLSKIE,GROWSKI,GRA,MW,PIT37,8470,378492,361914,323601,13779
2,4,13,DOLNOLSKIE,GROWSKI,GRA,MW,PIT38,107,10248,792,771,147
2,4,13,DOLNOLSKIE,GROWSKI,GRA,MW,PIT39,24,2612,1481,280,53
2,4,13,DOLNOLSKIE,GROWSKI,GRA,MW,PIT40A,2175,43352,43352,43352,0
2,4,22,DOLNOLSKIE,GROWSKI,JEMIELNO,GW,PIT28,56,4686,0,0,276
2,4,22,DOLNOLSKIE,GROWSKI,JEMIELNO,GW,PIT36,115,11455,4119,3666,117
2,4,22,DOLNOLSKIE,GROWSKI,JEMIELNO,GW,PIT36L,7,21733,1228,1165,221
2,4,22,DOLNOLSKIE,GROWSKI,JEMIELNO,GW,PIT37,1150,47375,45378,40505,1636
2,4,22,DOLNOLSKIE,GROWSKI,JEMIELNO,GW,PIT38,9,246,42,28,5
2,4,22,DOLNOLSKIE,GROWSKI,JEMIELNO,GW,PIT40A,357,6496,6496,6496,0
2,4,32,DOLNOLSKIE,GROWSKI,NIECHLW,GW,PIT28,106,11517,0,0,644
2,4,32,DOLNOLSKIE,GROWSKI,NIECHLW,GW,PIT36,202,24040,8336,7426,286
2,4,32,DOLNOLSKIE,GROWSKI,NIECHLW,GW,PIT36L,14,13367,2226,2127,404
2,4,32,DOLNOLSKIE,GROWSKI,NIECHLW,GW,PIT37,2114,93984,89866,79914,3512
2,4,32,DOLNOLSKIE,GROWSKI,NIECHLW,GW,PIT38,31,2967,270,270,51
2,4,32,DOLNOLSKIE,GROWSKI,NIECHLW,GW,PIT40A,548,10361,10361,10361,0
2,4,43,DOLNOLSKIE,GROWSKI,WSOSZ,MW,PIT28,314,38826,0,0,2140
2,4,43,DOLNOLSKIE,GROWSKI,WSOSZ,MW,PIT36,413,68355,20231,18193,828
2,4,43,DOLNOLSKIE,GROWSKI,WSOSZ,MW,PIT36L,61,122766,18116,17715,3366
2,4,43,DOLNOLSKIE,GROWSKI,WSOSZ,MW,PIT37,3054,128559,122595,109131,4425
2,4,43,DOLNOLSKIE,GROWSKI,WSOSZ,MW,PIT38,37,7739,465,462,88
2,4,43,DOLNOLSKIE,GROWSKI,WSOSZ,MW,PIT39,6,694,242,212,40
2,4,43,DOLNOLSKIE,GROWSKI,WSOSZ,MW,PIT40A,814,15547,15547,15547,0
2,5,11,DOLNOLSKIE,JAWORSKI,JAWOR,GM,PIT28,951,105710,0,0,7166
2,5,11,DOLNOLSKIE,JAWORSKI,JAWOR,GM,PIT36,1398,216374,71511,65451,4187
2,5,11,DOLNOLSKIE,JAWORSKI,JAWOR,GM,PIT36L,193,525240,58466,56744,10781
2,5,11,DOLNOLSKIE,JAWORSKI,JAWOR,GM,PIT37,11297,570461,545815,490393,24482
